openalex_id,name,quartile,rank,score,fwci_mean,if2,if2_approx,h5,cite_cagr,self_cite_rate,paper_count,fwci_n,issn,eissn,ccf_rank,venue_type,data_status
https://openalex.org/S4393916742,NeurIPS,Q1,1,54.8836,34.7728,0.0,165.5847,193.0,0.0,0.0,970.0,0.0,,,A,conference,ok
https://openalex.org/S4306418987,ICCV,Q1,2,50.5047,32.0361,0.0,152.553,100.0,0.0,0.0,463.0,0.0,,,A,conference,ok
https://openalex.org/S4306420609,ICLR,Q1,3,41.8567,26.334,0.0,125.4,173.0,0.0,0.0,1000.0,0.0,,,A,conference,ok
https://openalex.org/S4306418609,CVPR,Q1,4,40.2448,25.2813,0.0,120.387,180.0,0.0,0.0,1001.0,0.0,,,A,conference,ok
https://openalex.org/S4363608668,ACL,Q1,5,35.0636,21.93,0.0,104.4285,167.0,0.0,0.0,1010.0,0.0,,,A,conference,ok
https://openalex.org/S4306419637,ICML,Q1,6,34.9079,21.8462,0.0,104.0295,150.0,0.0,0.0,1001.0,0.0,,,A,conference,ok
https://openalex.org/S4363424788,EMNLP,Q1,7,30.3225,18.8718,0.0,89.8655,148.0,0.0,0.0,1009.0,0.0,,,B,conference,ok
https://openalex.org/S4363552898,ECCV,Q1,8,24.7662,15.2595,0.0,72.6645,153.0,0.0,0.0,877.0,0.0,,,B,conference,ok
https://openalex.org/S4363607701,ACM SIGKDD,Q1,9,23.7777,9.1631,0.0,76.568,196.0,1.0523,0.0,2019.0,1997.0,,,A,conference,ok
https://openalex.org/S4210188176,Foundations and Trends in Machine Learning,Q1,10,22.8684,16.0232,65.9167,0.0,13.0,1.2452,0.0,21.0,20.0,1935-8237,1935-8245,B,journal,ok
https://openalex.org/S4363520029,Symposium on Operating Systems Principles (SOSP),Q1,11,22.3458,13.965,0.0,66.5,27.0,0.0,0.0,153.0,0.0,,,A,conference,ok
https://openalex.org/S68686220,Proceedings of the IEEE,Q1,12,21.0572,13.077,61.1619,0.0,71.0,1.2342,0.0,547.0,229.0,0018-9219,1558-2256,A,journal,ok
https://openalex.org/S157921468,ACM Computing Surveys,Q1,13,18.1173,18.3318,41.4476,0.0,118.0,1.6199,0.0,1191.0,1093.0,0360-0300,1557-7341,A,journal,ok
https://openalex.org/S4363519970,Robotics: Science and Systems (RSS),Q1,14,17.8564,10.9067,0.0,51.9367,67.0,0.0,0.0,316.0,0.0,,,B,conference,ok
