openalex_id,name,quartile,rank,score,fwci_mean,if2,if2_approx,h5,cite_cagr,self_cite_rate,paper_count,fwci_n,issn,eissn,ccf_rank,venue_type,data_status
https://openalex.org/S126094547,CA A Cancer Journal for Clinicians,Q1,1,295.6579,169.6552,940.913,0.0,43.0,1.0042,0.0,143.0,114.0,0007-9235,1542-4863,,,ok
https://openalex.org/S62468778,New England Journal of Medicine,Q1,2,31.1912,28.1616,79.4356,0.0,249.0,0.8881,0.0,2852.0,2280.0,0028-4793,1533-4406,,,ok
https://openalex.org/S49861241,The Lancet,Q1,3,27.6083,26.7282,67.1728,0.0,217.0,1.1398,0.0,3544.0,2393.0,0140-6736,1474-547X,,,ok
https://openalex.org/S203256638,Nature Medicine,Q1,4,25.737,24.7669,62.5891,0.0,195.0,0.9716,0.0,2111.0,1769.0,1078-8956,1546-170X,,,ok
https://openalex.org/S116900674,The Lancet Oncology,Q1,5,13.5515,12.1469,32.072,0.0,103.0,1.2405,0.0,1422.0,1058.0,1470-2045,1474-5488,,,ok
https://openalex.org/S3251770,Gut,Q1,6,13.1664,11.0206,32.2536,0.0,85.0,1.4136,0.0,924.0,728.0,0017-5749,1468-3288,,,ok
https://openalex.org/S49878492,Diabetes Care,Q1,7,12.9416,10.576,31.7555,0.0,98.0,1.7619,0.0,1399.0,1191.0,0149-5992,1935-5548,,,ok
https://openalex.org/S156174673,Hepatology,Q1,8,12.5339,8.7997,32.8387,0.0,81.0,1.5875,0.0,1343.0,1011.0,0270-9139,1527-3350,,,ok
https://openalex.org/S4210207896,European Respiratory Journal,Q1,9,12.0145,9.852,29.5227,0.0,66.0,1.4502,0.0,650.0,566.0,0903-1936,1399-3003,,,ok
https://openalex.org/S172573765,JAMA,Q1,10,11.8272,10.9033,26.5401,0.0,160.0,1.0229,0.0,5755.0,3376.0,0098-7484,1538-3598,,,ok
https://openalex.org/S136578784,British Journal of Sports Medicine,Q1,11,10.1536,8.6245,23.7515,0.0,63.0,1.8567,0.0,792.0,604.0,0306-3674,1473-0480,,,ok
https://openalex.org/S50280174,Radiology,Q1,12,10.0746,7.2266,25.1681,0.0,87.0,1.4425,0.0,1409.0,1170.0,0033-8419,1527-1315,,,ok
https://openalex.org/S83651209,Journal of Hepatology,Q1,13,9.4528,6.9562,22.8391,0.0,106.0,1.5456,0.0,8635.0,1909.0,0168-8278,1600-0641,,,ok
https://openalex.org/S116251202,Circulation,Q1,14,9.0041,7.7329,19.793,0.0,128.0,1.4496,0.0,20406.0,3172.0,0009-7322,1524-4539,,,ok
https://openalex.org/S65364685,JAMA Internal Medicine,Q1,15,8.8126,7.8127,19.6097,0.0,70.0,1.083,0.0,1275.0,835.0,2168-6106,2168-6114,,,ok
https://openalex.org/S96871409,European Urology,Q1,16,8.7914,8.4363,18.5933,0.0,70.0,1.2968,0.0,6425.0,883.0,0302-2838,1421-993X,,,ok
https://openalex.org/S191417626,Critical Care,Q1,17,8.7868,7.2306,20.2083,0.0,73.0,1.3468,0.0,1370.0,1282.0,1364-8535,1466-609X,,,ok
